X Y |E| dxE dyE 
7 38 0.00509406 -0.00060811 0.00505763
7 39 0 0 0
8 0 0.918931 0 0.918931
8 1 0.896883 -0.0734877 0.893868
8 2 0.860076 -0.139477 0.848691
8 3 0.813923 -0.192694 0.790784
8 4 0.763104 -0.230888 0.727336
8 5 0.710953 -0.254347 0.663899
8 6 0.659611 -0.264924 0.604072
8 7 0.610395 -0.265134 0.549805
8 8 0.564122 -0.257574 0.501885
8 9 0.521343 -0.244631 0.460385
8 10 0.482494 -0.228413 0.425003
8 11 0.447986 -0.210821 0.395279
8 12 0.418252 -0.193709 0.370691
8 13 0.393683 -0.179108 0.35058
8 14 0.374256 -0.169501 0.333672
8 15 0.358327 -0.16797 0.316519
8 16 0.339448 -0.17755 0.289312
8 17 0.301651 -0.197339 0.228146
8 18 0.235808 -0.210088 0.107092
8 19 0.179941 -0.171482 0.0545248
8 20 0.132213 -0.131215 0.0162157
8 21 0.0891512 -0.088507 0.0106975
8 22 0.0602942 -0.0592518 0.011163
8 23 0.0423352 -0.0406507 0.0118231
8 24 0.0311559 -0.0288149 0.0118486
8 25 0.0239928 -0.0211145 0.0113943
8 26 0.0192151 -0.0159607 0.0106995
8 27 0.0158887 -0.0124044 0.00992878
8 28 0.0134752 -0.00986931 0.00917479
8 29 0.0116587 -0.00799795 0.00848277
8 30 0.010249 -0.00656424 0.007871
8 31 0.00912894 -0.00542285 0.00734371
8 32 0.00822496 -0.00447902 0.00689843
8 33 0.00749072 -0.00367009 0.00653004
8 34 0.00689743 -0.00295399 0.00623285
8 35 0.00642795 -0.00230193 0.00600164
8 36 0.00607301 -0.00169368 0.00583206
8 37 0.00582836 -0.00111448 0.00572082
8 38 0.00569267 -0.000553034 0.00566574
8 39 0 0 0
9 0 0.845444 0 0.845444
9 1 0.829765 -0.0559221 0.827878
9 2 0.802648 -0.107073 0.795474
9 3 0.767357 -0.149811 0.752591
9 4 0.727069 -0.182173 0.703877
9 5 0.684369 -0.203793 0.653322
9 6 0.64115 -0.215463 0.603861
9 7 0.598714 -0.218638 0.557365
9 8 0.557934 -0.215038 0.514829
9 9 0.519378 -0.206405 0.476603
9 10 0.483408 -0.194405 0.442595
9 11 0.45021 -0.180618 0.412391
9 12 0.419772 -0.166609 0.385291
9 13 0.391731 -0.154005 0.360188
9 14 0.365028 -0.144515 0.335202
9 15 0.337239 -0.139707 0.30694
9 16 0.303775 -0.140132 0.269522
9 17 0.258662 -0.143214 0.215397
9 18 0.202329 -0.140389 0.145698
9 19 0.153374 -0.120575 0.0947913
9 20 0.112085 -0.0953474 0.0589237
9 21 0.0801965 -0.0695361 0.0399527
9 22 0.0573855 -0.0490632 0.0297641
9 23 0.0418705 -0.0345455 0.0236589
9 24 0.031504 -0.024705 0.019549
9 25 0.0245346 -0.0181136 0.0165481
9 26 0.0197497 -0.0136683 0.0142558
9 27 0.0163699 -0.0106125 0.0124639
9 28 0.0139085 -0.0084516 0.0110462
9 29 0.0120627 -0.00686828 0.00991648
9 30 0.0106424 -0.00566016 0.00901239
9 31 0.00952652 -0.00469801 0.00828754
9 32 0.00863738 -0.00389884 0.00770736
9 33 0.00792485 -0.00320887 0.00724613
9 34 0.00735694 -0.00259277 0.00688491
9 35 0.00691369 -0.00202691 0.00660989
9 36 0.00658325 -0.00149503 0.00641125
9 37 0.00635909 -0.0009855 0.00628227
9 38 0.00623801 -0.000489542 0.00621877
9 39 0 0 0
10 0 0.789522 0 0.789522
10 1 0.777923 -0.0431275 0.776727
10 2 0.757307 -0.0830825 0.752736
10 3 0.729719 -0.117304 0.720229
10 4 0.69733 -0.144201 0.682257
10 5 0.662077 -0.163187 0.641651
10 6 0.625518 -0.174498 0.600686
10 7 0.588807 -0.178918 0.560966
10 8 0.552748 -0.177534 0.523461
10 9 0.517845 -0.171548 0.488604
10 10 0.484342 -0.162182 0.456382
10 11 0.452226 -0.150636 0.4264
10 12 0.421182 -0.138105 0.397896
10 13 0.390492 -0.125787 0.369678
10 14 0.358882 -0.114847 0.34001
10 15 0.324395 -0.106212 0.306515
10 16 0.284609 -0.100058 0.266441
10 17 0.238003 -0.0949958 0.218222
10 18 0.187302 -0.0876792 0.165513
10 19 0.141568 -0.0750803 0.120018
10 20 0.103864 -0.0600639 0.084735
10 21 0.0754764 -0.0452266 0.0604255
10 22 0.0551775 -0.0329194 0.0442818
10 23 0.0410718 -0.0237631 0.0334994
10 24 0.031372 -0.017346 0.0261404
10 25 0.0246751 -0.0129667 0.0209935
10 26 0.0199854 -0.00998637 0.0173115
10 27 0.0166343 -0.00792572 0.0146248
10 28 0.0141841 -0.00645631 0.0126295
10 29 0.01235 -0.0053634 0.0111246
10 30 0.0109468 -0.0045101 0.00997454
10 31 0.00985321 -0.00381018 0.00908671
10 32 0.00898976 -0.00320945 0.00839733
10 33 0.00830444 -0.00267377 0.00786223
10 34 0.00776352 -0.00218132 0.00745077
10 35 0.00734549 -0.00171792 0.00714178
10 36 0.00703707 -0.00127403 0.00692078
10 37 0.00683044 -0.000842946 0.00677822
10 38 0.00672143 -0.000419634 0.00670832
10 39 0 0 0
11 0 0.746394 0 0.746394
11 1 0.737533 -0.0335053 0.736772
11 2 0.721433 -0.064825 0.718514
11 3 0.699426 -0.0921226 0.693333
11 4 0.67302 -0.114139 0.663271
11 5 0.643659 -0.130257 0.630341
11 6 0.612577 -0.140422 0.596265
11 7 0.580744 -0.145003 0.56235
11 8 0.548846 -0.144631 0.529447
11 9 0.517296 -0.140072 0.497971
11 10 0.486226 -0.132138 0.467927
11 11 0.455475 -0.121641 0.438931
11 12 0.424548 -0.109387 0.410214
11 13 0.392584 -0.0961905 0.380617
11 14 0.35836 -0.0828748 0.348645
11 15 0.32046 -0.0702358 0.312669
11 16 0.277817 -0.0588923 0.271503
11 17 0.230807 -0.0490318 0.225539
11 18 0.182603 -0.0402519 0.178112
11 19 0.138776 -0.0320036 0.135035
11 20 0.102566 -0.0246013 0.0995723
11 21 0.0750209 -0.018387 0.0727327
11 22 0.0551476 -0.0136247 0.053438
11 23 0.0412094 -0.0102416 0.0399165
11 24 0.031538 -0.00794927 0.0305197
11 25 0.0248188 -0.00642084 0.0239738
11 26 0.0201066 -0.00538473 0.0193722
11 27 0.0167518 -0.00464771 0.0160942
11 28 0.0143174 -0.00408451 0.0137224
11 29 0.0125127 -0.00361891 0.0119779
11 30 0.0111457 -0.00320668 0.0106745
11 31 0.0100904 -0.00282314 0.00968744
11 32 0.00926423 -0.00245503 0.00893302
11 33 0.00861344 -0.00209542 0.00835468
11 34 0.00810337 -0.00174082 0.00791417
11 35 0.00771186 -0.00138941 0.00758567
11 36 0.00742509 -0.00104023 0.00735186
11 37 0.00723477 -0.000692618 0.00720154
11 38 0.00713634 -0.000346048 0.00712795
11 39 0 0 0
12 0 0.712889 0 0.712889
12 1 0.705934 -0.0260688 0.705452
12 2 0.693066 -0.0505896 0.691217
12 3 0.675189 -0.0722216 0.671316
