X Y V 
9 12 -5.63736
9 13 -5.85727
9 14 -6.05348
9 15 -6.2289
9 16 -6.38607
9 17 -6.5272
9 18 -6.65419
9 19 -6.76869
9 20 -6.87214
9 21 -6.96577
9 22 -7.05066
9 23 -7.12774
9 24 -7.19783
9 25 -7.26162
9 26 -7.31975
9 27 -7.37276
9 28 -7.42113
9 29 -7.46528
9 30 -7.50558
9 31 -7.54236
9 32 -7.57591
9 33 -7.6065
9 34 -7.63435
9 35 -7.65966
9 36 -7.68261
9 37 -7.70337
9 38 -7.72208
9 39 -7.73886
9 40 -7.75382
9 41 -7.76705
9 42 -7.77865
9 43 -7.78868
9 44 -7.7972
9 45 -7.80427
9 46 -7.80993
9 47 -7.81422
9 48 -7.81714
9 49 -7.81873
9 50 -7.81899
9 51 -7.81791
9 52 -7.8155
9 53 -7.81172
9 54 -7.80656
9 55 -7.79999
9 56 -7.79195
9 57 -7.7824
9 58 -7.77127
9 59 -7.75848
9 60 -7.74397
9 61 -7.72761
9 62 -7.70932
9 63 -7.68895
9 64 -7.66636
9 65 -7.6414
9 66 -7.61389
9 67 -7.58361
9 68 -7.55033
9 69 -7.51381
9 70 -7.47374
9 71 -7.42979
9 72 -7.3816
9 73 -7.32873
9 74 -7.27072
9 75 -7.207
9 76 -7.13697
9 77 -7.0599
9 78 -6.97499
9 79 -6.88131
9 80 -6.77777
9 81 -6.66314
9 82 -6.53598
9 83 -6.39466
9 84 -6.23724
9 85 -6.06154
9 86 -5.86501
9 87 -5.64475
9 88 -5.39745
9 89 -5.11943
9 90 -4.80666
9 91 -4.45485
9 92 -4.05974
9 93 -3.61746
9 94 -3.12515
9 95 -2.58182
9 96 -1.98942
9 97 -1.35388
9 98 -0.68577
9 99 0
10 0 0
10 1 -0.611799
10 2 -1.21078
10 3 -1.78572
10 4 -2.32803
10 5 -2.83221
10 6 -3.29558
10 7 -3.71776
10 8 -4.1
10 9 -4.44463
10 10 -4.75454
10 11 -5.03286
10 12 -5.28273
10 13 -5.50712
10 14 -5.7088
10 15 -5.89028
10 16 -6.05381
10 17 -6.20139
10 18 -6.33478
10 19 -6.45554
10 20 -6.56502
10 21 -6.66443
10 22 -6.75481
10 23 -6.83708
10 24 -6.91205
10 25 -6.98043
10 26 -7.04285
10 27 -7.09986
10 28 -7.15196
10 29 -7.19958
10 30 -7.2431
10 31 -7.28286
10 32 -7.31917
10 33 -7.3523
10 34 -7.38248
10 35 -7.40993
10 36 -7.43485
10 37 -7.4574
10 38 -7.47772
10 39 -7.49596
10 40 -7.51223
10 41 -7.52663
10 42 -7.53925
10 43 -7.55017
10 44 -7.55945
10 45 -7.56716
10 46 -7.57332
10 47 -7.57799
10 48 -7.58118
10 49 -7.58291
10 50 -7.58319
10 51 -7.58202
10 52 -7.57938
10 53 -7.57527
10 54 -7.56965
10 55 -7.56249
10 56 -7.55374
10 57 -7.54334
10 58 -7.53123
10 59 -7.51733
10 60 -7.50154
10 61 -7.48376
10 62 -7.46388
10 63 -7.44176
10 64 -7.41725
10 65 -7.39018
10 66 -7.36036
10 67 -7.32757
10 68 -7.29156
10 69 -7.25208
10 70 -7.20881
10 71 -7.16142
10 72 -7.10951
10 73 -7.05265
10 74 -6.99035
10 75 -6.92206
10 76 -6.84715
10 77 -6.76489
10 78 -6.67449
10 79 -6.57503
10 80 -6.46544
10 81 -6.34455
10 82 -6.21098
10 83 -6.06317
10 84 -5.89938
10 85 -5.7176
10 86 -5.51557
10 87 -5.29079
10 88 -5.04049
10 89 -4.76169
10 90 -4.45126
10 91 -4.10607
10 92 -3.72322
10 93 -3.30039
10 94 -2.83633
10 95 -2.33141
10 96 -1.78831
10 97 -1.21256
10 98 -0.612706
10 99 0
11 0 0
11 1 -0.551514
11 2 -1.09342
11 3 -1.61709
11 4 -2.11557
11 5 -2.58397
11 6 -3.01944
11 7 -3.42085
11 8 -3.78848
11 9 -4.12357
11 10 -4.42798
11 11 -4.70394
11 12 -4.95379
11 13 -5.17991
11 14 -5.38456
11 15 -5.56986
11 16 -5.73777
11 17 -5.89006
11 18 -6.02832
11 19 -6.15398
11 20 -6.26831
11 21 -6.37246
11 22 -6.46742
11 23 -6.55407
11 24 -6.63323
11 25 -6.70558
11 26 -6.77174
11 27 -6.83228
11 28 -6.88769
11 29 -6.9384
11 30 -6.9848
11 31 -7.02725
11 32 -7.06605
11 33 -7.10148
11 34 -7.13379
11 35 -7.1632
11 36 -7.18992
11 37 -7.2141
11 38 -7.23592
11 39 -7.25551
11 40 -7.27299
11 41 -7.28846
11 42 -7.30203
11 43 -7.31378
11 44 -7.32377
11 45 -7.33205
11 46 -7.33869
11 47 -7.34371
11 48 -7.34714
11 49 -7.34901
11 50 -7.34931
11 51 -7.34805
11 52 -7.34522
11 53 -7.34079
11 54 -7.33475
11 55 -7.32704
11 56 -7.31763
11 57 -7.30645
11 58 -7.29343
11 59 -7.27848
11 60 -7.26152
11 61 -7.24244
11 62 -7.2211
11 63 -7.19738
11 64 -7.1711
11 65 -7.1421
11 66 -7.11018
11 67 -7.0751
11 68 -7.03664
11 69 -6.99449
11 70 -6.94836
11 71 -6.89789
11 72 -6.84269
11 73 -6.78232
11 74 -6.71628
11 75 -6.64403
11 76 -6.56494
11 77 -6.47829
11 78 -6.38331
11 79 -6.27911
11 80 -6.16466
11 81 -6.03885
11 82 -5.9004
11 83 -5.74787
11 84 -5.57969
11 85 -5.39406
11 86 -5.18903
11 87 -4.96249
11 88 -4.71217
11 89 -4.4357
11 90 -4.13072
11 91 -3.79503
11 92 -3.42674
11 93 -3.02463
11 94 -2.58841
11 95 -2.11921
11 96 -1.61989
11 97 -1.09534
11 98 -0.552493
11 99 0
12 0 0
12 1 -0.500878
12 2 -0.994376
12 3 -1.47372
12 4 -1.93328
12 5 -2.36879
12 6 -2.77748
12 7 -3.15789
12 8 -3.50968
12 9 -3.83337
12 10 -4.13008
12 11 -4.40132
12 12 -4.64883
12 13 -4.87443
12 14 -5.07994
12 15 -5.26713
12 16 -5.43765
12 17 -5.59306
12 18 -5.73477
12 19 -5.86408
12 20 -5.98215
12 21 -6.09004
12 22 -6.18869
12 23 -6.27896
12 24 -6.36161
12 25 -6.43731
12 26 -6.50668
12 27 -6.57026
12 28 -6.62854
12 29 -6.68196
12 30 -6.73091
12 31 -6.77574
12 32 -6.81676
12 33 -6.85425
12 34 -6.88848
12 35 -6.91966
12 36 -6.948
12 37 -6.97367
12 38 -6.99685
12 39 -7.01766
12 40 -7.03625
12 41 -7.05271
12 42 -7.06715
12 43 -7.07965
12 44 -7.09029
12 45 -7.09911
12 46 -7.10618
12 47 -7.11153
12 48 -7.11519
12 49 -7.11718
12 50 -7.1175
12 51 -7.11616
12 52 -7.11314
12 53 -7.10843
12 54 -7.10199
12 55 -7.09379
12 56 -7.08377
12 57 -7.07187
12 58 -7.05801
12 59 -7.04212
12 60 -7.02409
12 61 -7.00381
12 62 -6.98115
12 63 -6.95597
12 64 -6.9281
12 65 -6.89736
12 66 -6.86355
12 67 -6.82643
12 68 -6.78577
12 69 -6.74126
12 70 -6.69261
12 71 -6.63944
12 72 -6.58138
12 73 -6.51798
12 74 -6.44875
12 75 -6.37315
12 76 -6.29056
12 77 -6.20031
12 78 -6.10163
12 79 -5.99367
12 80 -5.87549
12 81 -5.74602
12 82 -5.6041
12 83 -5.44844
12 84 -5.27762
12 85 -5.09008
12 86 -4.88417
12 87 -4.65812
12 88 -4.41011
12 89 -4.13832
12 90 -3.84101
12 91 -3.51667
12 92 -3.16418
12 93 -2.78302
12 94 -2.37353
12 95 -1.93717
12 96 -1.47671
12 97 -0.996418
12 98 -0.501922
12 99 0
13 0 0
13 1 -0.457667
13 2 -0.909547
13 3 -1.35024
13 4 -1.77513
13 5 -2.18056
13 6 -2.56394
13 7 -2.92371
13 8 -3.25916
13 9 -3.57035
13 10 -3.85786
13 11 -4.12268
13 12 -4.36603
13 13 -4.5893
13 14 -4.79393
13 15 -4.98135
13 16 -5.15296
13 17 -5.31009
13 18 -5.45397
13 19 -5.58576
13 20 -5.70653
13 21 -5.81723
13 22 -5.91875
13 23 -6.01188
13 24 -6.09735
13 25 -6.17581
13 26 -6.24785
13 27 -6.31399
13 28 -6.37472
13 29 -6.43047
13 30 -6.48162
13 31 -6.52852
13 32 -6.57148
13 33 -6.6108
13 34 -6.64672
13 35 -6.67947
13 36 -6.70926
13 37 -6.73627
13 38 -6.76066
13 39 -6.78258
13 40 -6.80216
13 41 -6.81952
13 42 -6.83474
13 43 -6.84793
13 44 -6.85915
13 45 -6.86847
13 46 -6.87593
13 47 -6.88158
13 48 -6.88545
13 49 -6.88754
13 50 -6.88789
13 51 -6.88647
13 52 -6.88329
13 53 -6.87831
13 54 -6.87152
13 55 -6.86286
13 56 -6.85229
13 57 -6.83974
13 58 -6.82513
13 59 -6.80838
13 60 -6.78939
13 61 -6.76803
13 62 -6.74418
13 63 -6.7177
13 64 -6.6884
13 65 -6.65612
13 66 -6.62064
13 67 -6.58173
13 68 -6.53914
13 69 -6.49258
13 70 -6.44174
13 71 -6.38626
13 72 -6.32576
13 73 -6.25981
13 74 -6.18792
13 75 -6.10957
13 76 -6.02417
13 77 -5.93105
13 78 -5.82951
13 79 -5.71873
13 80 -5.59785
13 81 -5.46588
