X Y |E| dxE dyE 
2 87 0.544993 0.537602 0.0894484
2 88 0.587096 0.577127 0.107729
2 89 0.63737 0.623591 0.131813
2 90 0.698246 0.678622 0.164377
2 91 0.773221 0.744222 0.209773
2 92 0.867541 0.822678 0.275371
2 93 0.98955 0.916076 0.374183
2 94 1.15362 1.02463 0.53007
2 95 1.38705 1.14171 0.787668
2 96 1.74524 1.24006 1.22805
2 97 2.32798 1.23766 1.97172
2 98 3.15926 0.93198 3.01867
2 99 0 0 0
3 0 2.08639 0 -2.08639
3 1 1.7425 0.511429 -1.66576
3 2 1.46202 0.797454 -1.22538
3 3 1.26326 0.90069 -0.885764
3 4 1.11094 0.903169 -0.6469
3 5 0.986673 0.860643 -0.482511
3 6 0.883164 0.802587 -0.368555
3 7 0.796578 0.742682 -0.288029
3 8 0.724008 0.686573 -0.229791
3 9 0.662971 0.636147 -0.186673
3 10 0.61137 0.591647 -0.154036
3 11 0.567476 0.552659 -0.128831
3 12 0.529893 0.518559 -0.109011
3 13 0.497503 0.4887 -0.0931725
3 14 0.469411 0.462486 -0.0803345
3 15 0.444905 0.439396 -0.0697951
3 16 0.423409 0.418985 -0.0610438
3 17 0.404459 0.400878 -0.0537029
3 18 0.387679 0.38476 -0.0474882
3 19 0.372759 0.370365 -0.0421832
3 20 0.359445 0.357471 -0.0376204
3 21 0.347523 0.345888 -0.033669
3 22 0.336817 0.335458 -0.0302254
3 23 0.327178 0.326045 -0.0272067
3 24 0.31848 0.317533 -0.0245462
3 25 0.310615 0.309821 -0.0221897
3 26 0.303491 0.302825 -0.0200923
3 27 0.297029 0.29647 -0.0182174
3 28 0.291161 0.290691 -0.016534
3 29 0.285829 0.285434 -0.0150165
3 30 0.28098 0.280648 -0.013643
3 31 0.27657 0.276292 -0.0123951
3 32 0.272559 0.272327 -0.0112568
3 33 0.268914 0.26872 -0.0102145
3 34 0.265604 0.265443 -0.00925653
3 35 0.262603 0.262469 -0.00837249
3 36 0.259886 0.259776 -0.00755341
3 37 0.257434 0.257344 -0.00679135
3 38 0.255228 0.255156 -0.00607927
3 39 0.253253 0.253195 -0.00541088
3 40 0.251494 0.251448 -0.00478052
3 41 0.24994 0.249905 -0.00418309
3 42 0.248579 0.248553 -0.00361391
3 43 0.247404 0.247385 -0.00306868
3 44 0.246405 0.246392 -0.00254343
3 45 0.245578 0.245569 -0.0020344
3 46 0.244916 0.244911 -0.00153809
3 47 0.244416 0.244413 -0.0010511
3 48 0.244074 0.244073 -0.000570183
3 49 0.243889 0.243889 -9.21494e-05
3 50 0.243859 0.243859 0.000386149
3 51 0.243986 0.243984 0.000867859
3 52 0.244269 0.244266 0.00135617
3 53 0.244712 0.244705 0.00185433
3 54 0.245316 0.245305 0.00236572
3 55 0.246088 0.246071 0.00289386
3 56 0.247031 0.247007 0.00344249
3 57 0.248152 0.24812 0.00401559
3 58 0.24946 0.249418 0.00461745
3 59 0.250964 0.250909 0.00525274
3 60 0.252674 0.252605 0.00592656
3 61 0.254603 0.254516 0.00664456
3 62 0.256765 0.256658 0.00741302
3 63 0.259175 0.259044 0.00823898
3 64 0.261854 0.261694 0.00913036
3 65 0.26482 0.264628 0.0100962
3 66 0.268099 0.267867 0.0111466
3 67 0.271716 0.271438 0.0122936
3 68 0.275704 0.275371 0.0135507
3 69 0.280096 0.279697 0.0149337
3 70 0.284932 0.284456 0.0164611
3 71 0.290259 0.28969 0.0181548
3 72 0.296127 0.295448 0.0200405
3 73 0.302598 0.301787 0.0221489
3 74 0.309742 0.30877 0.0245168
3 75 0.317638 0.316472 0.027189
3 76 0.326381 0.324979 0.0302198
3 77 0.336082 0.334391 0.0336758
3 78 0.346871 0.344823 0.0376398
3 79 0.358903 0.356411 0.0422154
3 80 0.372362 0.369316 0.0475336
3 81 0.387473 0.383725 0.0537616
3 82 0.404506 0.399863 0.0611161
3 83 0.423794 0.417993 0.0698812
3 84 0.445749 0.438431 0.0804345
3 85 0.470887 0.461554 0.0932865
3 86 0.499865 0.487805 0.109139
3 87 0.533528 0.517705 0.128973
3 88 0.572987 0.55185 0.154193
3 89 0.619726 0.590889 0.186844
3 90 0.67578 0.635444 0.229977
3 91 0.744027 0.68593 0.288229
3 92 0.828678 0.742103 0.368769
3 93 0.936144 0.802077 0.48274
3 94 1.07645 0.860207 0.647143
3 95 1.26495 0.902811 0.886021
3 96 1.52085 0.900415 1.22565
3 97 1.84698 0.797266 1.66604
3 98 2.14842 0.511332 2.08669
3 99 0 0 0
4 0 1.57496 0 -1.57496
4 1 1.41549 0.316178 -1.37973
4 2 1.24525 0.539842 -1.12215
4 3 1.1037 0.661791 -0.883285
4 4 0.989121 0.709262 -0.689425
4 5 0.89374 0.711729 -0.540567
4 6 0.812556 0.690413 -0.428459
4 7 0.742813 0.658286 -0.344137
4 8 0.682727 0.622571 -0.280218
4 9 0.630892 0.587012 -0.231174
4 10 0.586094 0.553397 -0.193024
4 11 0.547274 0.522458 -0.16293
4 12 0.513516 0.494383 -0.13887
4 13 0.484048 0.469094 -0.119387
4 14 0.458218 0.446393 -0.103425
4 15 0.435484 0.426039 -0.090206
4 16 0.415395 0.407784 -0.0791507
4 17 0.397575 0.391396 -0.0698212
4 18 0.381712 0.376662 -0.061883
4 19 0.367544 0.363393 -0.0550776
4 20 0.354851 0.351423 -0.0492028
4 21 0.343448 0.340606 -0.0440989
4 22 0.33318 0.330813 -0.0396386
4 23 0.323911 0.321935 -0.0357193
4 24 0.315528 0.313875 -0.0322578
4 25 0.307934 0.306548 -0.0291859
4 26 0.301044 0.29988 -0.0264474
4 27 0.294785 0.293806 -0.0239956
4 28 0.289094 0.288271 -0.0217914
4 29 0.283916 0.283224 -0.019802
4 30 0.279202 0.278622 -0.0179995
4 31 0.274912 0.274424 -0.0163601
4 32 0.271006 0.270598 -0.0148634
4 33 0.267454 0.267114 -0.0134919
4 34 0.264226 0.263943 -0.0122304
4 35 0.261297 0.261063 -0.0110654
4 36 0.258645 0.258452 -0.00998536
4 37 0.25625 0.256093 -0.00897994
4 38 0.254095 0.253968 -0.00803997
4 39 0.252164 0.252062 -0.00715725
4 40 0.250444 0.250364 -0.00632442
4 41 0.248924 0.248863 -0.00553477
4 42 0.247593 0.247547 -0.00478221
4 43 0.246443 0.246409 -0.0040611
4 44 0.245466 0.245443 -0.00336622
4 45 0.244656 0.244641 -0.00269268
4 46 0.244008 0.244 -0.00203583
4 47 0.243518 0.243514 -0.00139124
4 48 0.243184 0.243183 -0.000754628
4 49 0.243003 0.243003 -0.000121807
4 50 0.242975 0.242974 0.000511363
4 51 0.243099 0.243096 0.00114902
4 52 0.243377 0.24337 0.00179535
4 53 0.243811 0.243798 0.00245464
4 54 0.244403 0.244383 0.00313132
4 55 0.245159 0.245129 0.00383002
4 56 0.246083 0.246041 0.00455563
4 57 0.247182 0.247125 0.00531337
4 58 0.248463 0.248388 0.00610887
4 59 0.249935 0.249839 0.00694823
4 60 0.251609 0.251487 0.00783812
4 61 0.253497 0.253344 0.00878592
4 62 0.255611 0.255423 0.0097998
4 63 0.257969 0.257739 0.0108889
4 64 0.260587 0.260308 0.0120636
4 65 0.263486 0.263148 0.0133355
4 66 0.266688 0.266282 0.0147179
4 67 0.270219 0.269732 0.016226
4 68 0.27411 0.273526 0.0178775
4 69 0.278392 0.277694 0.0196926
4 70 0.283104 0.282271 0.0216951
4 71 0.288289 0.287295 0.0239129
4 72 0.293997 0.292811 0.0263789
4 73 0.300284 0.298868 0.029132
4 74 0.307217 0.305523 0.032219
4 75 0.314871 0.312841 0.035696
4 76 0.323334 0.320896 0.0396312
4 77 0.332709 0.329772 0.0441078
4 78 0.343117 0.339567 0.0492284
4 79 0.354699 0.35039 0.0551202
4 80 0.367627 0.362371 0.061943
4 81 0.382102 0.375654 0.0698988
4 82 0.398368 0.390406 0.0792463
4 83 0.416723 0.406817 0.0903198
4 84 0.437531 0.425099 0.103557
4 85 0.461244 0.445485 0.119537
4 86 0.488429 0.468221 0.139039
4 87 0.519807 0.49355 0.163119
4 88 0.556307 0.52167 0.193231
4 89 0.599147 0.552658 0.2314
4 90 0.649953 0.586327 0.280463
4 91 0.710934 0.621944 0.344402
4 92 0.785123 0.657722 0.428743
4 93 0.876656 0.689917 0.54087
4 94 0.99081 0.711304 0.689747
4 95 1.13285 0.708913 0.883625
4 96 1.30293 0.661522 1.12251
4 97 1.48187 0.539658 1.38011
4 98 1.60675 0.316084 1.57536
4 99 0 0 0
5 0 1.25878 0 -1.25878
5 1 1.1756 0.213438 -1.15607
5 2 1.07136 0.383938 -1.0002
5 3 0.972601 0.497362 -0.835814
5 4 0.886513 0.56035 -0.686959
5 5 0.812278 0.586586 -0.561883
5 6 0.747736 0.58904 -0.460587
5 7 0.691197 0.577465 -0.379853
5 8 0.641499 0.558397 -0.315776
5 9 0.597764 0.535919 -0.264789
5 10 0.559258 0.512455 -0.223963
5 11 0.525328 0.489373 -0.191005
5 12 0.49539 0.4674 -0.164158
5 13 0.468924 0.446879 -0.142088
5 14 0.445474 0.427932 -0.123779
5 15 0.424643 0.410558 -0.108461
5 16 0.40609 0.394692 -0.0955389
5 17 0.389521 0.380233 -0.084555
5 18 0.374686 0.367072 -0.0751517
5 19 0.361369 0.355095 -0.0670478
5 20 0.349388 0.344194 -0.0600204
5 21 0.338584 0.334267 -0.0538912
5 22 0.328821 0.325223 -0.0485166
5 23 0.319985 0.316976 -0.0437797
5 24 0.311973 0.309451 -0.0395851
5 25 0.304698 0.302581 -0.0358538
5 26 0.298084 0.296305 -0.0325206
5 27 0.292067 0.29057 -0.0295308
5 28 0.286586 0.285327 -0.0268384
5 29 0.281593 0.280533 -0.0244048
5 30 0.277042 0.276151 -0.0221967
5 31 0.272895 0.272147 -0.020186
5 32 0.269116 0.26849 -0.0183483
5 33 0.265676 0.265153 -0.0166625
5 34 0.262548 0.262113 -0.0151104
5 35 0.259708 0.259347 -0.0136759
5 36 0.257134 0.256837 -0.012345
5 37 0.254808 0.254566 -0.0111051
5 38 0.252714 0.252518 -0.00994519
5 39 0.250838 0.250681 -0.00885526
5 40 0.249165 0.249042 -0.00782636
5 41 0.247687 0.247592 -0.00685035
5 42 0.246392 0.246321 -0.00591977
5 43 0.245272 0.245221 -0.00502774
5 44 0.244321 0.244286 -0.00416788
5 45 0.243533 0.24351 -0.00333419
5 46 0.242902 0.242889 -0.00252098
5 47 0.242426 0.24242 -0.00172282
5 48 0.2421 0.242098 -0.000934448
5 49 0.241924 0.241924 -0.000150727
5 50 0.241897 0.241896 0.000633426
5 51 0.242019 0.242014 0.00142309
5 52 0.24229 0.24228 0.00222341
5 53 0.242713 0.242694 0.00303964
5 54 0.243291 0.24326 0.00387721
5 55 0.244028 0.243982 0.0047418
5 56 0.244928 0.244863 0.0056394
5 57 0.245999 0.245911 0.0065764
5 58 0.247247 0.247131 0.00755966
5 59 0.248681 0.248532 0.00859662
5 60 0.250311 0.250123 0.00969543
5 61 0.252148 0.251914 0.010865
5 62 0.254205 0.253916 0.0121154
5 63 0.256498 0.256145 0.0134576
5 64 0.259043 0.258614 0.0149041
5 65 0.26186 0.261342 0.016469
5 66 0.26497 0.264346 0.0181682
5 67 0.268397 0.267649 0.0200201
5 68 0.27217 0.271276 0.0220458
5 69 0.27632 0.275252 0.0242694
5 70 0.280882 0.279609 0.0267193
5 71 0.285898 0.28438 0.0294285
5 72 0.291415 0.289604 0.0324359
5 73 0.297484 0.295324 0.0357872
5 74 0.304168 0.301587 0.0395371
5 75 0.311536 0.308448 0.0437509
5 76 0.319669 0.315967 0.0485075
5 77 0.328663 0.324213 0.0539023
5 78 0.338627 0.33326 0.0600521
5 79 0.34969 0.343192 0.0671006
5 80 0.362006 0.354103 0.0752259
5 81 0.375754 0.366094 0.0846511
5 82 0.39115 0.379273 0.0956572
5 83 0.408456 0.393754 0.108602
5 84 0.427986 0.409646 0.123943
5 85 0.450127 0.427051 0.142274
5 86 0.475354 0.446032 0.164368
5 87 0.504263 0.466593 0.191238
5 88 0.5376 0.488609 0.22422
5 89 0.576314 0.511738 0.265069
5 90 0.621614 0.535254 0.316079
5 91 0.67503 0.557789 0.38018
5 92 0.738443 0.576918 0.460937
5 93 0.813962 0.588559 0.562257
5 94 0.90336 0.586174 0.687356
5 95 1.00643 0.560012 0.836235
5 96 1.11731 0.497102 1.00064
5 97 1.21854 0.38376 1.15653
5 98 1.27722 0.213347 1.25927
5 99 0 0 0
6 0 1.04534 0 -1.04534
6 1 0.997468 0.153631 -0.985566
6 2 0.931478 0.285105 -0.886774
6 3 0.862684 0.383361 -0.772825
6 4 0.798387 0.448183 -0.660722
6 5 0.740538 0.485217 -0.559429
6 6 0.68893 0.501685 -0.472162
6 7 0.642868 0.504124 -0.398921
6 8 0.601697 0.497618 -0.338254
6 9 0.564878 0.485796 -0.288253
6 10 0.531957 0.471113 -0.247045
6 11 0.502527 0.455163 -0.212978
6 12 0.476216 0.438947 -0.18468
6 13 0.45268 0.423069 -0.161035
6 14 0.431609 0.407875 -0.141153
6 15 0.412719 0.393548 -0.124327
6 16 0.39576 0.380167 -0.109997
6 17 0.38051 0.367749 -0.0977162
6 18 0.366771 0.356272 -0.0871286
